Keys,en,it,fr,es,de,pl
ONE_STAR_MSG_3,"A win is a win!","Una vittoria è una vittoria(?)","Une victoire est une victoire!","¡Una victoria es una victoria!","Ein Sieg ist ein Sieg!",Wygrana to wygrana!
ZERO_STAR_MSG_1,"At least you finished!","Almeno...hai finito!","Au moins tu as fini!","¡Al menos terminaste!","Naja... wenigstens abgeschlossen...",Przynajmniej masz to za sobą...
ZERO_STAR_MSG_2,"A win... kinda.","Una vittoria... più o meno.","Une victoire... à peu près.","Una victoria... más o menos.","Ein Sieg... irgendwie.",Zwycięstwo... jakoś...
ZERO_STAR_MSG_3,"Room for improvement!","Puoi fare di meglio!","Il y a place à l'amélioration!","¡Hay margen de mejora!","Das geht besser...",Do poprawy...
EXTRA_STAR_MSG_1,"You broke our solution!","Meglio del previsto!","Incroyable astuce!","¡Esto no estaba previsto!","Mehr als Perfekt! ",To tak sie w ogóle da?!
EXTRA_STAR_MSG_2,"Beyond brilliant!","Semplicemente geniale!","Au-delà du brillant !","¡Más que brillante!","Einfach genial!",Po prostu geniusz. 
EXTRA_STAR_MSG_3,"Developer's jaw dropped.","Che colpo di genio.","Chapeau bas!","¡Menuda sorpresa!","Uns fehlen die Worte! ",Brak nam słów!

CELLS_DOWN,"[center][color=black]Bring all cells down to zero to win.","[center][color=black]Porta tutte le celle a zero per vincere.","[center][color=black]Ramenez toutes les cellules à zéro pour gagner.","[center][color=black]Lleva todas las celdas a cero para ganar.","[center][color=black]Bringe alle Zellen auf Null, um zu gewinnen.","[center][color=black]Doprowadź wszystkie komórki do zera aby wygrać."
ONE_MOVE,"[center][color=black]Each slider movement is considered as 1 move.","[center][color=black]Ogni movimento di 'Slider' è considerato come 1 mossa.","[center][color=black]Chaque mouvement du 'Slider' est considéré comme un mouvement.","[center][color=black]Cada movimiento del 'Slider' se considera como 1 movimiento.","[center][color=black]Jede Bewegung des 'Slider' wird als 1 Zug betrachtet.","[center][color=black]Każde przeciągnięcie 'suwaka' liczy się jako ruch."
GAME_GOAL,"[center][color=black]Complete the levels by resetting the matrix!","[center][color=black]Completa i livelli azzerando la matrice!","[center][color=black]Complétez les niveaux en réinitialisant la matrice!","[center][color=black]¡Completa los niveles restableciendo la matriz!","[center][color=black]Schließe die Level ab, indem du die Matrix zurücksetzt!","[center][color=black]Ukończ poziom doprowadzając Matryce do zera!"
BEST_SOLUTION_HINT,"[center][color=black]Find the best solution to minimize the number of moves.","[center][color=black]Trova la soluzione migliore per ridurre al minimo il numero di mosse.","[center][color=black]Trouvez la meilleure solution pour minimiser le nombre de mouvements.","[center][color=black]Encuentra la mejor solución para minimizar el número de movimientos.","[center][color=black]Finde die beste Lösung, um die Anzahl der Züge zu minimieren.","[center][color=black]Znajdź najlepsze rozwiązanie w jak najmniejszej ilości ruchów."

MINUS_SLIDER_TUTORIAL,"[center][color=black]([color=red]-[/color]) subtracts one unit.","[center][color=black]([color=red]-[/color]) sottrae una unità.","[center][color=black]([color=red]-[/color]) soustrait une unité.","[center][color=black]([color=red]-[/color]) resta una unidad.","[center][color=black]([color=red]-[/color]) subtrahiert eine Einheit.","[center][color=black]([color=red]-[/color]) odejmuje o jeden"
TUTORIAL_DIFF_EFFECTS,"[center][color=black]The 'Sliders' can have different effects depending on the sign.","[center][color=black]Gli 'Slider' possono avere effetti diversi in funzione del segno.","[center][color=black]Les 'Sliders' peuvent avoir des effets différents en fonction du signe.","[center][color=black]¡Los 'Sliders' pueden tener diferentes efectos según el signo.","[center][color=black]Die 'Slider' können je nach Vorzeichen unterschiedliche Effekte haben.","[center][color=black]W zależności od symbolu 'suwaki' mogą mieć inne efekty."
PLUS_SLIDER_TUTORIAL,"[center][color=black]([color=green]+[/color]) adds one unit.","[center][color=black]([color=green]+[/color]) somma una unità.","[center][color=black]([color=green]+[/color]) ajoute une unité.","[center][color=black]([color=green]+[/color]) suma una unidad.","[center][color=black]([color=green]+[/color]) addiert um eine Zahl.","[center][color=black]([color=green]+[/color]) dodaje o jeden."
TUTORIAL_BLOCKED_TILES,"[center][color=black]Some tiles are blocked and cannot be changed.","[center][color=black]Alcune celle sono bloccate e non possono essere modificate.","[center][color=black]Certaines tuiles sont bloquées et ne peuvent pas être modifiées.","[center][color=black]Algunas fichas están bloqueadas y no se pueden cambiar.","[center][color=black]Einige Kästchen sind blockiert und können nicht geändert werden.","[center][color=black] niektóre pola są zablokowane i nie da się ich zmienić."
TUTORIAL_AUTOMATIC_SLIDER,"[center][color=black]Automatic 'Sliders' extend completely when activated!","[center][color=black]Gli 'Slider' automatici si estendono completamente quando attivati!","[center][color=black]Les 'Sliders' automatiques s'étendent complètement lorsqu'ils sont activés!","[center][color=black]¡Los 'Sliders' automáticos se extienden completamente cuando se activan!","[center][color=black]Die automatischen 'Slider' dähnen sich vollständig aus wenn sie aktiviert werden!","[center][color=black] Automoatyczne 'suwaki' rozsuwają się całkowicie po kliknięciu!"
TUTORIAL_AUTOMATIC_SLIDER_CLOSE,"[center][color=black]Tap again to close them back.","[center][color=black]Tocca di nuovo per richiuderli.","[center][color=black]Appuyez à nouveau pour les refermer.","[center][color=black]Toca de nuevo para cerrarlos.","[center][color=black]Tippe erneut, um sie wieder zu schließen.","[center][color=black] Kliknij ponownie aby je zamknąć."
TUTORIAL_INVERTER,"[center][color=black]([color=#32a5f8ff]~[/color]) multiplies by -1.","[center][color=black]([color=#32a5f8ff]~[/color]) moltiplica per -1.","[center][color=black]([color=#32a5f8ff]~[/color]) multiplie par -1.","[center][color=black]([color=#32a5f8ff]~[/color]) multiplica por -1.","[center][color=black]([color=#32a5f8ff]~[/color]) multipliziert mit -1.","[center][color=black]([color=#32a5f8ff]~[/color]) mnoży przez -1."
TUTORIAL_BLOCKER,"[center][color=black]This 'Slider' resets the values of cells, and prevents other sliders from crossing.","[center][color=black]Questo 'Slider' annulla i valori nelle celle e impedisce ad altri slider di passare.","[center][color=black]Le 'Slider' réinitialise les valeurs dans les cellules et empêche les autres sliders de passer.","[center][color=black]El 'Slider' restablece los valores en las celdas e impide que otros sliders pasen.","[center][color=black]Der 'Slider' setzt die Werte in den Zellen zurück und verhindert, dass andere 'Slider' sich überschneiden.","[center][color=black]Ten suwak resetuje wartości komórek i zapobiega nakładaniu się innych suwaków."

TUTORIAL_ARENA,"[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Race against the clock and complete as many levels as you can in [b]3 minutes![/b]\n\nReset the grid for a fresh start and earn time [color=#6388f8]bonuses[/color] for each completed level.\n\nSkip a level by sacrificing [color=#b5544eff]15[/color] seconds. \n\n[b]How fast can you go?[/b]","[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Corri contro il tempo e completa più livelli possibili in [b]3 minuti![/b]\n\nReimposta la griglia per un nuovo inizio e guadagna [color=#6388f8]bonus[/color] di tempo per ogni livello completato.\n\nSalta un livello sacrificando [color=#b5544eff]15[/color] secondi.\n\n[b]Quanto veloce puoi andare?[/b]","[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Courez contre la montre et complétez autant de niveaux que possible en [b]3 minutes![/b]\n\nRéinitialisez la grille pour un nouveau départ et gagnez des [color=#6388f8]bonus[/color] de temps pour chaque niveau terminé.\n\nSautez un niveau en sacrifiant [color=#b5544eff]15[/color] secondes. \n\n[b]Jusqu'où irez-vous?[/b]","[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Compite contra el reloj y completa tantos niveles como puedas en [b]3 minutos![/b]\n\nReinicia la cuadrícula para un nuevo comienzo y gana [color=#6388f8]bonificaciones[/color] de tiempo por cada nivel completado.\n\nSalta un nivel sacrificando [color=#b5544eff]15[/color] segundos.\n\n[b]¿Qué tan rápido puedes ir?[/b]","[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Renne gegen die Zeit und schließe so viele Level wie möglich in [b]3 Minuten![/b]\n\nSetze das Raster für einen frischen Start zurück und erhalte Zeit-[color=#6388f8]Boni[/color] für jedes abgeschlossene Level.\n\nÜberspringe ein Level, indem du [color=#b5544eff]15[/color] Sekunden opferst.\n\n[b]Wie schnell bist du?[/b]","[center][font_size=60][b][color=#b5544eff]Blitz[/color][/b][/font_size]\n\n[color=black]Ścigaj się z czasem i ukończ jak najwięcej poziomów w ciągu [b]3 minut![/b]\n\nZresetuj siatkę, aby rozpocząć od nowa, i zdobywaj [color=#6388f8]bonusy[/color] czasu za każdy ukończony poziom.\n\nPomiń poziom, poświęcając [color=#b5544eff]15[/color] sekund.\n\n[b]Sprawdź, jak szybki jesteś![/b]"
TUTORIAL_ENDLESS,"[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Enjoy a [b]stress-free[/b] experience with randomly generated puzzles.\n\nNo time limits—just solve at your own pace and relax!","[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Goditi un'esperienza [b]senza stress[/b] con puzzle generati casualmente.\n\nNessun limite di tempo—risolvi al tuo ritmo e rilassati!","[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Profitez d'une expérience [b]sans stress[/b] avec des puzzles générés aléatoirement.\n\nPas de limite de temps—résolvez à votre rythme et détendez-vous!","[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Disfruta de una experiencia [b]sin estrés[/b] con rompecabezas generados aleatoriamente.\n\nSin límites de tiempo—¡resuelve a tu propio ritmo y relájate!","[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Genieße ein [b]stressfreies[/b] Erlebnis mit zufällig generierten Rätseln.\n\nKeine Zeitlimits—löse einfach in deinem eigenen Tempo und entspanne dich!","[center][font_size=60][b][color=#097bccff]Zen[/color][/b][/font_size]\n\n[color=black]Ciesz się [b]bezstresową[/b] rozgrywką z losowo generowanymi łamigłówkami.\n\nBez limitu czasu, po prostu rozwiązuj we własnym tempie i odpoczywaj!"
TUTORIAL_PUZZLE,"[center][font_size=60][b][color=#f8d263ff]Brain[/color][/b][/font_size]\n\n[color=black]Challenge your mind with intricate and [b]complex[/b] puzzles.\n\nEach level tests your problem-solving skills with tougher challenges and more layers to uncover.\n\nCan you solve them all, or will the complexity stop you in your tracks?","[center][font_size=60][b][color=#f8d263ff]Puzzle[/color][/b][/font_size]\n\n[color=black]Sfida la tua mente con enigmi intricati e [b]complessi[/b].\n\nOgni livello mette alla prova le tue capacità di risoluzione dei problemi con sfide più difficili e più strati da scoprire.\n\nRiesci a risolverli tutti, o la complessità ti fermerà sul posto?","[center][font_size=60][b][color=#f8d263ff]Puzzle[/color][/b][/font_size]\n\n[color=black]Mettez votre esprit au défi avec des puzzles complexes et [b]sophistiqués[/b].\n\nChaque niveau teste vos compétences en résolution de problèmes avec des défis plus difficiles et davantage de couches à découvrir.\n\nPouvez-vous tous les résoudre, ou la complexité vous arrêtera-t-elle en chemin?","[center][font_size=60][b][color=#f8d263ff]Puzzle[/color][/b][/font_size]\n\n[color=black]Desafía tu mente con rompecabezas intrincados y [b]complejos[/b].\n\nCada nivel pone a prueba tus habilidades de resolución de problemas con desafíos más difíciles y más capas por descubrir.\n\n¿Puedes resolverlos todos, o la complejidad te detendrá en seco?","[center][font_size=60][b][color=#f8d263ff]Brain[/color][/b][/font_size]\n\n[color=black]Fordere deinen Verstand mit raffinierten und [b]komplexen[/b] Rätseln heraus.\n\nJedes Level testet deine Problemlösungsfähigkeiten mit härteren Herausforderungen und mehr Schichten, die es zu entdecken gilt.\n\nKannst du alle lösen, oder hält dich die Komplexität auf?","[center][font_size=60][b][color=#f8d263ff]Brain[/color][/b][/font_size]\n\n[color=black]Wyzwanie dla twojego umysłu z misternymi i [b]skomplikowanymi[/b] łamigłówkami.\n\nKażdy poziom sprawdza twoje umiejętności rozwiązywania problemów, z coraz trudniejszymi wyzwaniami i dodatkowymi warstwami do odkrycia.\n\nCzy uda ci się je wszystkie rozwiązać, czy też złożoność powstrzyma cię w połowie drogi?"
TIP_OF,"[Tip %d of %d]","Suggerimento %d di %d","Astuce %d sur %d","Consejo %d de %d","Tipp %d von %d",Wskazówka %d od
HIDE_HINT,"Don't show anymore","Non mostrare più","Ne plus afficher","No mostrar más","Nicht mehr anzeigen",Już nie pokazuj 

STAR_LOCK_MSG,"[center][color=#faa900ff][b]Collect %d more stars to unlock this challenge.[/b][/color][/center]","[center][color=#faa900ff][b]Raccogli %d stelle in più per sbloccare questa sfida.[/b][/color][/center]","[center][color=#faa900ff][b]Collectez encore %d étoiles pour débloquer ce défi.[/b][/color][/center]","[center][color=#faa900ff][b]Consigue %d estrellas más para desbloquear este desafío.[/b][/color][/center]","[center][color=#faa900ff][b]Sammle %d Sterne, um diese Herausforderung freizuschalten.[/b][/color][/center]","[center][color=#faa900ff][b]Zbierz %d gwiazdek, aby odblokować to wyzwanie.[/b][/color][/center]"
LEVEL_LOCK_MSG,"[center][color=#faa900ff][b]Complete the tutorial to unlock this challenge.[/b][/color][/center]","[center][color=#faa900ff][b]Completa il tutorial per sbloccare questa sfida.[/b][/color][/center]","[center][color=#faa900ff][b]Terminez le tutoriel pour débloquer ce défi.[/b][/color][/center]","[center][color=#faa900ff][b]Completa el tutorial para desbloquear este desafío.[/b][/color][/center]","[center][color=#faa900ff][b]Schließe %d Level ab, um diese Herausforderung freizuschalten.[/b][/color][/center]","[center][color=#faa900ff][b]Ukończ %d poziomów, aby odblokować to wyzwanie.[/b][/color][/center]"
COMPLETED_MSG,"[center][color=#62be5d][b]COMPLETED[/b][/color][/center]","[center][color=#62be5d][b]COMPLETATO[/b][/color][/center]","[center][color=#62be5d][b]TERMINÉ[/b][/color][/center]","[center][color=#62be5d][b]COMPLETADO[/b][/color][/center]","[center][color=#62be5d][b]ABGESCHLOSSEN[/b][/color][/center]","[center][color=#62be5d][b]UKOŃCZONE[/b][/color][/center]"
